"","Site","Sample","Species"
"127","sample-1",69301,46.1143019543703
"128","sample-1",69851,46.126178722752
"129","sample-1",70401,46.1379306770116
"130","sample-1",70951,46.149559358047
"131","sample-1",71501,46.1610662873329
"132","sample-1",72051,46.1724529676922
"133","sample-1",72601,46.1837208839487
"134","sample-1",73151,46.1948715034861
"135","sample-1",73701,46.2059062768583
"136","sample-1",74251,46.2168266382221
"137","sample-1",74801,46.2276340058576
"138","sample-1",75351,46.2383297825349
"139","sample-1",75901,46.248915355919
"140","sample-1",76451,46.2593920988889
"141","sample-1",77001,46.2697613699251
"142","sample-1",77551,46.2800245132656
"143","sample-1",78101,46.2901828592781
"144","sample-1",78651,46.300237724654
"145","sample-1",79201,46.3101904126012
"146","sample-1",79751,46.3200422130784
"147","sample-1",80301,46.3297944029043
"148","sample-1",80851,46.3394482460102
"149","sample-1",81401,46.3490049934703
"150","sample-1",81951,46.3584658837321
"151","sample-1",82501,46.3678321426893
"152","sample-1",83051,46.3771049837401
"153","sample-1",83601,46.3862856079778
"154","sample-1",84151,46.3953752041927
"155","sample-1",84701,46.4043749490161
"156","sample-1",85251,46.4132860069034
"157","sample-1",85801,46.4221095302883
"158","sample-1",86351,46.4308466595687
"159","sample-1",86901,46.4394985231944
"160","sample-1",87451,46.4480662377163
"161","sample-1",88001,46.4565509077765
"162","sample-1",88551,46.4649536262072
"163","sample-1",89101,46.4732754740059
"164","sample-1",89651,46.4815175204016
"165","sample-1",90201,46.4896808228817
"166","sample-1",90751,46.4977664271829
"167","sample-1",91301,46.5057753673252
"168","sample-1",91851,46.5137086656367
"169","sample-1",92401,46.5215673327833
"170","sample-1",92951,46.5293523677267
"171","sample-1",93501,46.5370647578234
"172","sample-1",94051,46.5447054787477
"173","sample-1",94601,46.5522754945571
"174","sample-1",95151,46.559775757668
"175","sample-1",95701,46.5672072089018
"176","sample-1",96251,46.5745707774447
"177","sample-1",96801,46.5818673808959
"178","sample-1",97351,46.589097925249
"179","sample-1",97901,46.5962633048783
"180","sample-1",98451,46.6033644025956
"181","sample-1",99001,46.6104020896201
"182","sample-1",99551,46.6173772255518
"183","sample-1",100101,46.6242906584505
"184","sample-1",100651,46.6311432247519
"185","sample-1",101201,46.6379357493517
"186","sample-1",101751,46.6446690455327
"187","sample-1",102301,46.6513439150182
"188","sample-1",102851,46.657961147959
"189","sample-1",103401,46.6645215228988
"190","sample-1",103951,46.6710258068552
"191","sample-1",104501,46.6774747552455
"192","sample-1",105051,46.6838691119019
"193","sample-1",105601,46.6902096091048
"194","sample-1",106151,46.6964969675609
"195","sample-1",106701,46.7027318963992
"196","sample-1",107251,46.708915093181
"197","sample-1",107801,46.7150472438879
"198","sample-1",108351,46.7211290229417
"199","sample-1",108901,46.727161093188
"200","sample-1",109451,46.7331441059102
"201","sample-1",110001,46.7390787008079
"202","sample-1",110551,46.7449655060168
"203","sample-1",111101,46.7508051381074
"204","sample-1",111651,46.7565982020793
"205","sample-1",112201,46.7623452913601
"206","sample-1",112751,46.768046987793
"207","sample-1",113301,46.7737038616764
"208","sample-1",113851,46.779316471729
"209","sample-1",114401,46.7848853650925
"210","sample-1",114951,46.790411077348
"211","sample-1",115501,46.7958941325032
"212","sample-1",116051,46.8013350429994
"213","sample-1",116601,46.8067343097033
"214","sample-1",117151,46.8120924219159
"215","sample-1",117701,46.8174098573616
"216","sample-1",118251,46.8226870822128
"217","sample-1",118801,46.8279245510448
"218","sample-1",119351,46.8331227068923
"219","sample-1",119901,46.8382819811971
"220","sample-1",120451,46.8434027938449
"221","sample-1",121001,46.8484855531477
"222","sample-1",121551,46.8535306558491
"223","sample-1",122101,46.8585384871189
"224","sample-1",122651,46.8635094205635
"225","sample-1",123201,46.8684438182175
"226","sample-1",123751,46.8733420305425
"227","sample-1",124301,46.8782043964338
"228","sample-1",124851,46.8830312432162
"229","sample-1",125401,46.8878228866456
"230","sample-1",125951,46.892579630908
"231","sample-1",126501,46.8973017686184
"232","sample-1",127051,46.9019895808257
"233","sample-1",127601,46.9066433370048
"234","sample-1",128151,46.9112632950649
"235","sample-1",128701,46.9158497013417
"236","sample-1",129251,46.9204027906046
"237","sample-1",129801,46.9249227860526
"238","sample-1",130351,46.9294098993141
"239","sample-1",130901,46.9338643304483
"240","sample-1",131451,46.9382862679452
"241","sample-1",132001,46.9426758887258
"242","sample-1",132551,46.9470333581396
"243","sample-1",133101,46.9513588299678
"244","sample-1",133651,46.9556524464225
"245","sample-1",134201,46.9599143381448
"246","sample-1",134751,46.9641446242073
"247","sample-1",135301,46.9683434121128
"248","sample-1",135851,46.9725107977935
"249","sample-1",136401,46.9766468656136
"250","sample-1",136951,46.9807516883667
"251","sample-1",137501,46.9848253272769
"252","sample-1",138051,46.988867831999
"253","sample-1",138601,46.9928792406178
"254","sample-1",139151,46.9968595796489
"255","sample-1",139588,47
"256","sample-10",1,0.999999999999984
"257","sample-10",551,22.6572902246534
"258","sample-10",1101,24.8819258144372
"259","sample-10",1651,25.9665665795764
"260","sample-10",2201,26.6210150028759
