"","Site","Sample","Species"
"155","sample-1",84701,81.1908986913875
"156","sample-1",85251,81.2056665903709
"157","sample-1",85801,81.2202330590119
"158","sample-1",86351,81.2346011530174
"159","sample-1",86901,81.2487738796196
"160","sample-1",87451,81.2627541979518
"161","sample-1",88001,81.2765450197083
"162","sample-1",88551,81.2901492097541
"163","sample-1",89101,81.3035695865764
"164","sample-1",89651,81.3168089229596
"165","sample-1",90201,81.3298699464292
"166","sample-1",90751,81.3427553398269
"167","sample-1",91301,81.3554677418342
"168","sample-1",91851,81.3680097475174
"169","sample-1",92401,81.3803839087577
"170","sample-1",92951,81.3925927348871
"171","sample-1",93501,81.4046386930679
"172","sample-1",94051,81.4165242088544
"173","sample-1",94601,81.4282516666922
"174","sample-1",95151,81.4398234103602
"175","sample-1",95701,81.4512417435106
"176","sample-1",96251,81.4625089300669
"177","sample-1",96801,81.4736271948002
"178","sample-1",97351,81.484598723652
"179","sample-1",97901,81.4954256644163
"180","sample-1",98451,81.5061101269683
"181","sample-1",99001,81.5166541838845
"182","sample-1",99551,81.5270598708134
"183","sample-1",100101,81.5373291869706
"184","sample-1",100651,81.5474640955591
"185","sample-1",101201,81.557466524217
"186","sample-1",101751,81.5673383654731
"187","sample-1",102301,81.5770814771868
"188","sample-1",102851,81.5866976829246
"189","sample-1",103401,81.5961887724789
"190","sample-1",103951,81.605556502228
"191","sample-1",104501,81.6148025955894
"192","sample-1",105051,81.6239287434393
"193","sample-1",105601,81.6329366045284
"194","sample-1",106151,81.6418278058881
"195","sample-1",106701,81.6506039432528
"196","sample-1",107251,81.6592665814623
"197","sample-1",107801,81.6678172548824
"198","sample-1",108351,81.6762574677917
"199","sample-1",108901,81.6845886947902
"200","sample-1",109451,81.692812381205
"201","sample-1",110001,81.7009299434523
"202","sample-1",110551,81.7089427694604
"203","sample-1",111101,81.7168522190632
"204","sample-1",111651,81.724659624364
"205","sample-1",112201,81.7323662901222
"206","sample-1",112751,81.7399734941345
"207","sample-1",113301,81.74748248763
"208","sample-1",113851,81.7548944956206
"209","sample-1",114401,81.7622107172836
"210","sample-1",114951,81.7694323263229
"211","sample-1",115501,81.7765604713569
