"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"58e775b0ff334bbe08d763b51cf0ab71","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae","g__","s__"
"4c19a594a35ae18e380ba5db3d50e7d9","k__Bacteria"," p__TM6"," c__SJA-4"," o__"," f__"," g__"," s__"
"5d3f7736e05f02a43275180e53bafadd","k__Bacteria"," p__Verrucomicrobia"," c__Verrucomicrobiae"," o__Verrucomicrobiales"," f__Verrucomicrobiaceae"," g__Luteolibacter"," s__"
"ac8c006603824d57e0c5223744897923","k__Bacteria"," p__Bacteroidetes"," c__Cytophagia"," o__Cytophagales"," f__Cytophagaceae"," g__Hymenobacter"," s__"
"6bb3b906be42842a50dc837f626c9814","k__Bacteria"," p__Bacteroidetes"," c__Sphingobacteriia"," o__Sphingobacteriales"," f__Sphingobacteriaceae"," g__Sphingobacterium"," s__multivorum"
"e3d66b5b87a108c58e7332dd119178e3","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Pseudonocardiaceae"," g__Pseudonocardia"," s__halophobica"
"a731d06fe540f330103fabdad149f49b","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae","g__","s__"
"639bf7a4d3687c10a3938940d0beca62","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas"," s__"
"043ace4331ca65abc1b3cc55c89f54b4","k__Bacteria"," p__Verrucomicrobia"," c__[Spartobacteria]"," o__[Chthoniobacterales]"," f__[Chthoniobacteraceae]"," g__Ellin506"," s__"
"3e4016afc0d199c289996db13be2b19d","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Methylobacteriaceae"," g__Methylobacterium"," s__"
"7936d488315bb71625a717e35241c2fb","k__Bacteria"," p__Bacteroidetes"," c__Cytophagia"," o__Cytophagales"," f__Cytophagaceae"," g__Hymenobacter"," s__"
"480578a46a00cbbcfc956160f926e739","k__Bacteria"," p__Bacteroidetes"," c__Flavobacteriia"," o__Flavobacteriales"," f__Flavobacteriaceae"," g__Flavobacterium","s__"
"a3ec66e78be415f296bcbaa885d5b83f","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Microbacteriaceae"," g__Microbacterium","s__"
"a1982599e3b6ef0b44d1f00f3997c5f1","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Methylocystaceae"," g__Methylopila"," s__"
"677765dd0d4d099f4f29a2aadaec0987","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__Burkholderiales"," f__Oxalobacteraceae","g__","s__"
"dedefeb66846a2e6a82b41d0bbcb88db","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales","f__","g__","s__"
