"","sample.id","Original.id","Location.Sample.date","Facility","Year","Season","Production","Room","Object","Touch","Soil","Surface","Moisture","Risk","Untrimmed_reads","Trimmed_reads","APC","YM","CVTA","APC_log","CVTA_log","YM_log","keep","APC_bin"
"96","sample-409","E1","WS.E1.4","West Seneca",2023,"Spring","During","Warehouse","Non-FPE Structure","No","Yes","Perforated, Continuous","Dry","three",147666,120487,360,0,0,2.55630250076729,0,0,TRUE,"Low"
"19","sample-77","7","B.07.4","Batavia",2023,"Spring","During","Raw","Drain","No","None","Perforated","Wet","three",206360,166040,480,0,0,2.68124123737559,0,0,TRUE,"Low"
"54","sample-227","41","NL.41.3","North Lawrence",2023,"Winter","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",200558,170493,480,800,400,2.68124123737559,2.60205999132796,2.90308998699194,TRUE,"Low"
"57","sample-242","47","NL.47.2","North Lawrence",2022,"Fall","During","Filling","FPE Structure","No","Yes","Continuous","Dry","two",202899,160495,135,0,0,2.13033376849501,0,0,TRUE,"Low"
"8","sample-33","20","B.20.3","Batavia",2023,"Winter","During","Filling","Non-FPE Structure","No","Yes","Continuous","Dry","three",204010,168356,400,400,0,2.60205999132796,0,2.60205999132796,TRUE,"Low"
"5","sample-29","2","B.02.4","Batavia",2023,"Spring","During","Raw","Hose","No","Yes","Continuous","Dry","two",216794,176957,160,0,0,2.20411998265592,0,0,TRUE,"Low"
"107","sample-511","50","WS.50.1","West Seneca",2022,"Summer","During","Warehouse","Fan/Vent","No","Yes","Grille","Dry","three",175895,139000,635,800,0,2.80277372529198,0,2.90308998699194,TRUE,"Low"
"64","sample-279","E23","NL.E23.4","North Lawrence",2023,"Spring","During","Filling","Conveyor","No","No","Continuous","Dry","two",203679,167144,520,0,0,2.7160033436348,0,0,TRUE,"Low"
"14","sample-55","3","B.03.4","Batavia",2023,"Spring","During","Raw","Hose","Yes","Yes","Continuous","Dry","two",213276,167712,880,0,0,2.94448267215017,0,0,TRUE,"Low"
"49","sample-216","39","NL.39.2","North Lawrence",2022,"Fall","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",204310,166883,35,0,0,1.54406804435028,0,0,TRUE,"Low"
"2","sample-15","15","B.15.3","Batavia",2023,"Winter","During","Filling","Conveyor","No","Yes","Continuous","Damp","two",196569,163888,1000,0,8400,3,3.92427928606188,0,TRUE,"Low"
"25","sample-103","E1","B.E1.2","Batavia",2022,"Fall","During","Filling","Non-FPE Structure","No","Yes","Continuous","Damp","three",202394,164894,255,650,95000,2.40654018043396,4.97772360528885,2.81291335664286,TRUE,"Low"
"87","sample-376","45","WS.45.4","West Seneca",2023,"Spring","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",203926,166907,120,0,0,2.07918124604762,0,0,TRUE,"Low"
"69","sample-302","16","WS.16.2","West Seneca",2022,"Fall","During","Warehouse","Floor Object","No","Yes","Perforated","Condensate","three",205729,169582,365,95000,0,2.56229286445647,0,4.97772360528885,TRUE,"Low"
"23","sample-95","E10","B.E10.3","Batavia",2023,"Winter","During","Post-Pasteurization ","Non-FPE Structure","No","Yes","Continuous","Damp","three",111863,93929,40,0,0,1.60205999132796,0,0,TRUE,"Low"
"29","sample-121","E4","WS.E4.2","West Seneca",2022,"Fall","During","Warehouse","Conveyor","No","Yes","Continuous","Dry","three",202200,167800,940,350,1050,2.9731278535997,3.02118929906994,2.54406804435028,TRUE,"Low"
