"","X","sample.id","Original.id","Location.Sample.date","Facility","Year","Season","Production","Room","Object","Touch","Soil","Surface","Moisture","Risk","APC","YM","CVTA","APC_log","CVTA_log","YM_log","keep","APC_bin"
"46",174,"sample-180","22","NL.22.4","Facility 3",2023,"Spring","During","Filling","Drain","No","Yes","Perforated","Wet","three",592000,4e+05,265000,5.77232170672292,5.42324587393681,5.60205999132796,TRUE,"High"
"29",135,"sample-137","E7","WS.E7.3","Facility 1",2023,"Winter","During","Raw","Floor Object","No","Yes","Continuous","Dry","three",35600000,3600000,2640000,7.55144999797287,6.42160392686983,6.55630250076729,TRUE,"High"
"50",215,"sample-221","4","NL.04.3","Facility 3",2023,"Winter","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",356000,800,28000,5.55144999797287,4.44715803134222,2.90308998699194,TRUE,"High"
"92",373,"sample-379","46","WS.46.4","Facility 1",2023,"Spring","During","Warehouse","Drain","No","Yes","Perforated","Dry","three",24800000,23200,19600,7.39445168082622,4.29225607135648,4.3654879848909,TRUE,"High"
"33",144,"sample-150","1","NL.01.2","Facility 3",2022,"Fall","During","Raw","Floor Object","No","Yes","Continuous","Dry","three",140000,36600,0,5.14612803567824,0,4.56348108539441,TRUE,"High"
"74",334,"sample-340","31","WS.31.2","Facility 1",2022,"Fall","During","Post-Pasteurization ","FPE Structure","No","Yes","Continuous","Dry","two",159000,35000,8950,5.20139712432045,3.95182303531591,4.54406804435028,TRUE,"High"
"72",306,"sample-312","20","WS.20.4","Facility 1",2023,"Spring","During","Post-Pasteurization ","Drain","No","Yes","Perforated","Wet","three",108000,64000,124000,5.03342375548695,5.09342168516223,4.80617997398389,TRUE,"High"
"65",278,"sample-284","9","WS.09.2","Facility 1",2022,"Fall","During","Raw","Hose","Yes","Yes","Continuous","Damp","two",7e+06,365000,970000,6.84509804001426,5.98677173426625,5.56229286445647,TRUE,"High"
"38",154,"sample-160","12","NL.12.4","Facility 3",2023,"Spring","During","Post-Pasteurization ","Drain","No","Yes","Continuous","Wet","three",4100000,58000,115000,6.61278385671974,5.06069784035361,4.76342799356294,TRUE,"High"
"21",109,"sample-111","E2","WS.E2.2","Facility 1",2022,"Fall","During","Warehouse","Drain","No","Yes","Perforated","Dry","three",55700000,4500000,5.18e+08,7.74585519517373,8.71432975974523,6.65321251377534,TRUE,"High"
"48",191,"sample-197","3","NL.03.3","Facility 3",2023,"Winter","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",588000,520000,6000,5.76937732607614,3.77815125038364,5.7160033436348,TRUE,"High"
"105",425,"sample-435","21A","B.21A.1","Facility 2",2022,"Summer","Before","Filling","Drain","No","Yes","Continuous","Wet","three",52900000,10300000,3500000,7.72345567203519,6.54406804435028,7.01283722470517,TRUE,"High"
"91",372,"sample-378","46","WS.46.2","Facility 1",2022,"Fall","During","Warehouse","Drain","No","Yes","Perforated","Dry","three",15700000,25000,205000,7.19589965240923,5.31175386105575,4.39794000867204,TRUE,"High"
"14",41,"sample-41","25","B.25.4","Facility 2",2023,"Spring","During","Warehouse","Fan/Vent","No","Yes","Grille","Dry","three",160000,2800,4000,5.20411998265593,3.60205999132796,3.44715803134222,TRUE,"High"
"61",262,"sample-268","8","NL.08.3","Facility 3",2023,"Winter","During","Post-Pasteurization ","Floor Object","No","Yes","Continuous","Wet","three",85200000,144000,3880000,7.9304395947667,6.58883172559421,5.15836249209525,TRUE,"High"
"59",260,"sample-266","8","NL.08.2","Facility 3",2022,"Fall","During","Post-Pasteurization ","Floor Object","No","Yes","Continuous","Dry","three",2200000,0,3400,6.34242268082221,3.53147891704225,0,TRUE,"High"
"101",407,"sample-413","E3","WS.E3.4","Facility 1",2023,"Spring","During","Warehouse","Drain","No","Yes","Continuous","Wet","three",6.05e+08,17800000,4.96e+08,8.78175537465247,8.6954816764902,7.25042000230889,TRUE,"High"
"84",356,"sample-362","40","WS.40.4","Facility 1",2023,"Spring","During","Filling","Cart/Rolling Bins","No","None","Continuous","Wet","three",2110000,41600,203000,6.32428245529769,5.30749603791321,4.61909333062674,TRUE,"High"
"31",142,"sample-144","E9","NL.E9.2","Facility 3",2022,"Fall","During","Warehouse","Floor Object","No","Yes","Continuous","Dry","three",2400000,70000,250000,6.38021124171161,5.39794000867204,4.84509804001426,TRUE,"High"
"111",459,"sample-470","28","NL.28.1","Facility 3",2022,"Summer","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",260000,170000,315000,5.41497334797082,5.4983105537896,5.23044892137827,TRUE,"High"
"99",400,"sample-406","8","WS.08.3","Facility 1",2023,"Winter","During","Raw","Drain","No","Yes","Perforated","Wet","three",1.05e+08,13600000,5.6e+07,8.02118929906994,7.7481880270062,7.13353890837022,TRUE,"High"
"87",363,"sample-369","42","WS.42.3","Facility 1",2023,"Winter","During","Filling","Drain","No","Yes","Perforated","Wet","three",59600000,4e+07,6e+07,7.77524625974024,7.77815125038364,7.60205999132796,TRUE,"High"
"4",14,"sample-14","15","B.15.4","Facility 2",2023,"Spring","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",2.35e+08,3360000,6400000,8.37106786227174,6.80617997398389,6.52633927738984,TRUE,"High"
"43",160,"sample-166","14","NL.14.4","Facility 3",2023,"Spring","During","Post-Pasteurization ","Floor Object","No","None","Continuous","Dry","three",4.97e+08,5.6e+07,3.24e+08,8.69635638873333,8.51054501020661,7.7481880270062,TRUE,"High"
"76",340,"sample-346","35","WS.35.2","Facility 1",2022,"Fall","During","Post-Pasteurization ","Drain","No","Yes","Perforated","Wet","three",1.5e+07,2.48e+08,2.86e+08,7.17609125905568,8.45636603312904,8.39445168082622,TRUE,"High"
"63",268,"sample-274","E13","NL.E13.4","Facility 3",2023,"Spring","During","Filling","Floor Object","No","No","Continuous","Dry","three",948000,39200,1600000,5.97680833733807,6.20411998265593,4.59328606702046,TRUE,"High"
"95",386,"sample-392","5","WS.05.3","Facility 1",2023,"Winter","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",98400000,525000,640000,7.99299509843134,5.80617997398389,5.72015930340596,TRUE,"High"
"97",398,"sample-404","8","WS.08.2","Facility 1",2022,"Fall","During","Raw","Drain","No","Yes","Perforated","Wet","three",1.13e+08,2.08e+08,58500000,8.05307844348342,7.76715586608218,8.31806333496276,TRUE,"High"
