"","X","sample.id","Original.id","Location.Sample.date","Facility","Year","Season","Production","Room","Object","APC","APC_log","keep","APC_bin"
"476",418,"sample-428","13B","B.13B.1","Facility 2",2022,"Summer","During","Post-Pasteurization ","Floor Object",1800000,6.25527250510331,TRUE,"High"
"477",421,"sample-431","15A","B.15A.1","Facility 2",2022,"Summer","Before","Filling","Conveyor",2e+06,6.30102999566398,TRUE,"High"
"478",422,"sample-432","18A","B.18A.1","Facility 2",2022,"Summer","Before","Filling","Wall/Ceiling",2.02e+08,8.30535136944662,TRUE,"High"
"479",425,"sample-435","21A","B.21A.1","Facility 2",2022,"Summer","Before","Filling","Drain",52900000,7.72345567203519,TRUE,"High"
"480",434,"sample-444","30A","B.30A.1","Facility 2",2022,"Summer","Before","Warehouse","Non-FPE Structure",26300000,7.41995574848976,TRUE,"High"
"481",439,"sample-449","3B","B.03B.1","Facility 2",2022,"Summer","During","Raw","Hose",129000,5.11058971029925,FALSE,"High"
"482",447,"sample-458","10","NL.10.1","Facility 3",2022,"Summer","During","Post-Pasteurization ","Wall/Ceiling",1.4e+07,7.14612803567824,TRUE,"High"
"483",448,"sample-459","12","NL.12.1","Facility 3",2022,"Summer","During","Post-Pasteurization ","Drain",5400000,6.73239375982297,TRUE,"High"
"484",450,"sample-461","14","NL.14.1","Facility 3",2022,"Summer","During","Post-Pasteurization ","Floor Object",12400000,7.09342168516223,TRUE,"High"
"485",454,"sample-465","20","NL.20.1","Facility 3",2022,"Summer","During","Post-Pasteurization ","Wall/Ceiling",4700000,6.67209785793572,FALSE,"High"
"486",458,"sample-469","26","NL.26.1","Facility 3",2022,"Summer","During","Filling","Drain",2650000,6.42324587393681,TRUE,"High"
"487",459,"sample-470","28","NL.28.1","Facility 3",2022,"Summer","During","Filling","Conveyor",260000,5.41497334797082,TRUE,"High"
"488",466,"sample-477","40","NL.40.1","Facility 3",2022,"Summer","During","Filling","Drain",120000,5.07918124604763,TRUE,"High"
"489",469,"sample-480","46","NL.46.1","Facility 3",2022,"Summer","During","Filling","Non-FPE Structure",750000,5.8750612633917,FALSE,"High"
"490",471,"sample-482","50","NL.50.1","Facility 3",2022,"Summer","During","Warehouse","Floor Object",180000,5.25527250510331,TRUE,"High"
"491",474,"sample-485","8","NL.08.1","Facility 3",2022,"Summer","During","Post-Pasteurization ","Floor Object",2.3e+07,7.36172783601759,TRUE,"High"
"492",475,"sample-486","11","WS.11.1","Facility 1",2022,"Summer","During","Raw","Non-FPE Structure",12300000,7.0899051114394,FALSE,"High"
"493",477,"sample-488","13","WS.13.1","Facility 1",2022,"Summer","During","Raw","FPE Structure",6.1e+07,7.78532983501077,FALSE,"High"
"494",484,"sample-495","29","WS.29.1","Facility 1",2022,"Summer","During","Post-Pasteurization ","Floor Object",385000,5.5854607295085,FALSE,"High"
"495",487,"sample-498","35","WS.35.1","Facility 1",2022,"Summer","During","Post-Pasteurization ","Drain",33600000,7.52633927738984,FALSE,"High"
"496",488,"sample-499","36","WS.36.1","Facility 1",2022,"Summer","During","Post-Pasteurization ","Wall/Ceiling",2e+05,5.30102999566398,FALSE,"High"
"497",489,"sample-500","37","WS.37.1","Facility 1",2022,"Summer","During","Post-Pasteurization ","Non-FPE Structure",363000,5.55990662503611,FALSE,"High"
"498",493,"sample-504","43","WS.43.1","Facility 1",2022,"Summer","During","Filling","Forklift/Pallet Jack",2150000,6.3324384599156,FALSE,"High"
"499",495,"sample-506","45","WS.45.1","Facility 1",2022,"Summer","During","Filling","Conveyor",201000,5.30319605742049,FALSE,"High"
"500",499,"sample-510","5","WS.05.1","Facility 1",2022,"Summer","During","Warehouse","Forklift/Pallet Jack",250000,5.39794000867204,FALSE,"High"
"501",502,"sample-513","6","WS.06.1","Facility 1",2022,"Summer","During","Warehouse","Forklift/Pallet Jack",133000,5.12385164096709,FALSE,"High"
"502",504,"sample-515","8","WS.08.1","Facility 1",2022,"Summer","During","Raw","Drain",1.14e+08,8.05690485133647,FALSE,"High"
