"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"7a17c7f6a7a129aea37271a216fcde67","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas"," s__viridiflava"
"b1cc0afab8aabe335f3d2183a8f862a8","k__Bacteria"," p__[Thermi]"," c__Deinococci"," o__Deinococcales"," f__Trueperaceae"," g__Truepera"," s__"
"9df3cef82d405a0e1e6bab1c3d801d6d","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Acinetobacter"," s__guillouiae"
"efbb94b50197ece8fdb1942f0ad5732c","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas","s__"
"a8fe02e925904321ef2e6173ae451184","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Propionibacteriaceae"," g__"," s__"
"971fc240f4d464a12a0670fdb6983ad3","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Enterococcaceae"," g__Enterococcus","s__"
"3ee7f93d0677d4327a5f25128e8635a7","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Streptococcaceae"," g__Lactococcus"," s__"
"8ee1503031191da79016895bb8f5012f","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Methylobacteriaceae"," g__Methylobacterium"," s__adhaesivum"
"e8fc8f54caab50fb37b912ef03c7a30c","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhodospirillales"," f__Rhodospirillaceae"," g__Skermanella"," s__"
"e88077dd64178ebd86038e2621fbb492","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas","s__"
"edb033a9f4a814424d6a0a3bdb4d7612","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus"," s__helveticus"
"5587b56ff975db64c10a3f782c3550cd","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Acinetobacter"," s__guillouiae"
"2f3464d9017dbcc3c07539e9e6d031d1","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Micrococcaceae"," g__Kocuria"," s__palustris"
"700150a43d42e17a02c7c7163d36b265","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Dietziaceae"," g__Dietzia"," s__"
"9a2d939e1b79f8730084d2cfa1548903","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae","g__","s__"
"6665ccb23816d70ae3f3edcb1430b581","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas","s__"
"3f0e4b321b0e3e72e8c598b4050580cd","k__Bacteria","p__","c__","o__","f__","g__","s__"
"a0279c8e68b8a0fa189e9f4bf45a3e6b","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__Burkholderiales"," f__Comamonadaceae"," g__Variovorax"," s__paradoxus"
"c78cc7f16fd53466dd45c42be04ccb07","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Dietziaceae"," g__Dietzia"," s__"
"5060a417cecb2477803920f679600168","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Enterococcaceae"," g__Enterococcus","s__"
"c9941e5c9d62b431559cd0c0bf69bc77","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Methylobacteriaceae"," g__Methylobacterium"," s__adhaesivum"
"0a906fc42f65259c8ca23478f35e8193","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," g__Paracoccus","s__"
"c6cdc71a1f7376db5a843ade152ed641","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Enterococcaceae"," g__Enterococcus"," s__"
"b101356556af0c06fab97c7ff3575340","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Sanguibacteraceae"," g__Sanguibacter"," s__"
"0c6f366f21ed2d846dbf0f190ac15845","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__Burkholderiales"," f__Alcaligenaceae"," g__Pigmentiphaga"," s__"
"4e2b94b09424e3149204b5f1df90d48a","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Acinetobacter","s__"
"26990449cb4953f347199b8603cdc8ef","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Acinetobacter"," s__johnsonii"
"af7c6bf0e46dd165d4442ec7665ea805","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae"," g__Citrobacter"," s__"
"bfc0d52b05d8ccf82ce11ad73eeeca67","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Sphingomonadales"," f__Sphingomonadaceae"," g__Blastomonas"," s__"
"6cd7218260758ad5f5eff053df12e2da","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Psychrobacter"," s__sanguinis"
